player,team_id,team,position,Disparos_totales,Goles,Paradas_portero,xG,Disparos_puerta,Disparos_fuera,Penaltis_lanzados,Disparos_Faltas_lanzadas,%_Disparos_a_puerta,Pases_totales,Pases_completados,Pases_incompletos,Pases_faltas_lanzadas,Corner,Asistencias,Centros,Pases_completados_ultimo_tercio,Pases_incompletos_ultimo_tercio,%Efectividad_pase,%Efectividad_pase_ultimo_tercio,Tarjetas Amarillas,Balones Recuperados,Bloqueos,Conducciones,Despejes,Duelos_totales,Duelos_ganados,Duelos_perdidos,%Duelos_ganados_,Faltas_recibidas,Faltas_realizadas,Intercepciones_totales,Intercepciones_ganadas,Intercepciones_perdidas,%Intercepciones_ganadas_,Mal_control,Perdidas,Regates_totales,Regates_exitosos,Regates_fallidos,%Regates_exitosos,Goles_recibidos_juego,Goles_recibidos_penalti,Despeje_puños,Paradas_portero_juego,Paradas_portero_penalti,Salidas_portero_balon,Goles_totales_recibidos,Paradas_totales,%Paradas
Aaron Ramsey,907.0,Wales,Atacante,1.7746478873239435,0.2535211267605634,0.5070422535211268,0.3523311195211267,0.7605633802816901,1.0140845070422535,0.0,0.0,10.865191146881287,39.80281690140845,30.676056338028168,9.126760563380282,2.788732394366197,0.5070422535211268,0.0,0.0,9.633802816901408,6.591549295774648,19.538889387279088,15.05281690140845,0.0,5.577464788732394,1.7746478873239435,32.45070422535211,0.5070422535211268,3.8028169014084505,1.267605633802817,2.535211267605634,8.450704225352112,2.788732394366197,1.5211267605633803,1.5211267605633803,1.267605633802817,0.2535211267605634,21.126760563380284,1.5211267605633803,1.0140845070422535,1.267605633802817,0.7605633802816901,0.5070422535211268,15.211267605633802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdülkerim Bardakcı,909.0,Turkey,Defensa,0.5,0.0,0.0,0.055252538500000004,0.0,0.5,0.0,0.0,0.0,54.0,46.5,7.5,2.0,0.0,0.0,0.0,7.0,2.75,21.52777777777778,17.94871794871795,0.0,4.75,2.25,43.5,3.75,3.5,0.5,3.0,3.571428571428571,0.25,1.0,0.75,0.25,0.5,8.333333333333332,0.25,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Buksa,789.0,Poland,Atacante,1.8120805369127517,0.6040268456375839,0.0,0.08959588791946309,0.0,1.2080536912751678,0.0,0.0,0.0,6.0402684563758395,5.436241610738255,0.6040268456375839,0.0,0.0,0.0,0.0,3.6241610738255035,0.0,54.36241610738255,60.40268456375839,0.0,1.2080536912751678,3.6241610738255035,9.060402684563758,1.8120805369127517,4.228187919463087,0.0,4.228187919463087,0.0,2.4161073825503356,1.2080536912751678,0.0,0.0,0.0,0.0,1.8120805369127517,1.8120805369127517,0.6040268456375839,0.0,0.6040268456375839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Gnezda Čerin,944.0,Slovenia,Centrocampista,0.8571428571428571,0.0,0.21428571428571427,0.061275557999999994,0.0,0.6428571428571428,0.0,0.0,0.0,35.357142857142854,27.857142857142854,7.5,1.9285714285714284,2.571428571428571,0.0,0.0,7.285714285714286,4.285714285714286,16.88311688311688,13.49206349206349,0.0,3.642857142857143,2.357142857142857,26.357142857142854,1.7142857142857142,3.642857142857143,0.8571428571428571,2.7857142857142856,5.042016806722688,0.8571428571428571,2.357142857142857,1.5,1.0714285714285714,0.42857142857142855,15.306122448979592,1.2857142857142856,0.42857142857142855,0.42857142857142855,0.21428571428571427,0.21428571428571427,10.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Hložek,912.0,Czech Republic,Banda_derecha,2.073732718894009,0.0,1.6589861751152073,0.2422005275115207,0.0,0.4147465437788018,0.0,0.0,0.0,17.419354838709676,13.271889400921658,4.147465437788018,0.0,0.0,0.0,0.0,8.294930875576036,2.488479262672811,31.59973666886109,31.903580290677066,0.0,2.903225806451613,0.8294930875576036,18.24884792626728,0.8294930875576036,2.488479262672811,0.4147465437788018,2.073732718894009,6.912442396313363,0.4147465437788018,1.6589861751152073,0.0,0.0,0.0,0.0,2.488479262672811,1.2442396313364055,2.073732718894009,0.0,2.073732718894009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Admir Mehmedi,773.0,Switzerland,Atacante,3.9130434782608696,0.0,1.3043478260869565,1.1476598791304347,0.0,1.3043478260869565,0.0,0.0,0.0,32.608695652173914,26.086956521739133,6.521739130434783,0.0,0.0,0.0,0.0,6.521739130434783,5.217391304347826,104.34782608695653,72.46376811594203,0.0,3.9130434782608696,1.3043478260869565,24.782608695652176,0.0,2.608695652173913,2.608695652173913,0.0,130.43478260869566,1.3043478260869565,1.3043478260869565,1.3043478260869565,1.3043478260869565,0.0,130.43478260869566,1.3043478260869565,2.608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrien Rabiot,771.0,France,Lateral_izquierdo,0.7952871870397644,0.0,0.0,0.0610542780706922,0.0,0.7952871870397644,0.0,0.0,0.0,57.92341678939617,51.693667157584684,6.2297496318114876,0.9278350515463918,0.0,0.0,0.0,18.026509572901325,3.1811487481590577,11.82921445253654,11.26656848306333,0.0,4.374079528718704,1.8556701030927836,50.63328424153166,0.5301914580265096,2.385861561119293,1.0603829160530192,1.3254786450662739,5.89101620029455,1.7231222385861562,1.5905743740795288,1.1929307805596465,0.9278350515463918,0.2650957290132548,10.309278350515465,1.1929307805596465,1.8556701030927836,0.9278350515463918,0.7952871870397644,0.1325478645066274,11.36124552913949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albin Ekdal,790.0,Sweden,Centrocampista,0.46511627906976744,0.0,0.0,0.01601127511627907,0.0,0.46511627906976744,0.0,0.0,0.0,31.627906976744185,27.674418604651162,3.953488372093023,0.9302325581395349,0.0,0.0,0.0,5.348837209302325,2.0930232558139537,20.348837209302324,16.71511627906977,0.0,3.7209302325581395,2.0930232558139537,23.25581395348837,1.627906976744186,3.0232558139534884,1.1627906976744187,1.8604651162790697,8.94454382826476,1.3953488372093024,1.8604651162790697,1.1627906976744187,0.9302325581395349,0.23255813953488372,18.6046511627907,0.23255813953488372,1.1627906976744187,0.6976744186046512,0.0,0.6976744186046512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksandar Dragović,915.0,Austria,Defensa,0.26627218934911245,0.0,0.0,0.0205556125739645,0.0,0.26627218934911245,0.0,0.0,0.0,61.77514792899409,53.520710059171606,8.254437869822485,2.928994082840237,0.0,0.0,0.0,6.390532544378699,3.4615384615384617,23.06927157722914,17.27170957940189,0.26627218934911245,3.994082840236687,2.396449704142012,45.532544378698226,4.260355029585799,1.0650887573964498,0.7988165680473374,0.26627218934911245,19.970414201183434,0.7988165680473374,1.0650887573964498,2.1301775147928996,1.0650887573964498,1.0650887573964498,13.313609467455622,0.0,0.26627218934911245,0.5325443786982249,0.5325443786982249,0.0,26.627218934911244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksandar Mitrović,786.0,Serbia,Atacante,3.75,0.0,0.75,0.432689164125,0.0,3.0,0.0,0.0,0.0,19.125,14.625,4.5,0.375,0.0,0.0,0.0,4.5,1.5,28.676470588235293,28.125,0.375,3.0,1.5,17.625,1.125,7.875,0.0,7.875,0.0,3.0,0.75,0.0,0.0,0.0,0.0,3.0,1.875,1.125,0.375,0.75,12.499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksandar Trajkovski,2358.0,North Macedonia,Atacante,2.6470588235294117,0.0,0.4411764705882353,0.07658235163235294,0.0,2.2058823529411766,0.0,0.0,0.0,27.794117647058822,23.38235294117647,4.411764705882353,0.0,0.8823529411764706,0.0,0.0,9.705882352941176,2.2058823529411766,37.114845938375346,35.947712418300654,0.0,3.9705882352941178,0.0,34.411764705882355,0.0,1.7647058823529411,0.4411764705882353,1.3235294117647058,11.029411764705882,0.4411764705882353,3.0882352941176467,1.3235294117647058,1.3235294117647058,0.0,44.11764705882353,2.2058823529411766,3.0882352941176467,3.0882352941176467,0.8823529411764706,2.2058823529411766,12.60504201680672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksandr Golovin,796.0,Russia,Banda_izquierda,1.6666666666666665,0.0,0.3333333333333333,0.11328018333333334,0.0,1.3333333333333333,0.0,0.0,0.0,43.33333333333333,33.33333333333333,10.0,1.0,2.333333333333333,0.0,0.0,15.333333333333332,7.333333333333333,25.641025641025642,22.54901960784314,0.0,6.666666666666666,2.0,39.33333333333333,0.0,2.333333333333333,1.6666666666666665,0.6666666666666666,23.80952380952381,2.333333333333333,1.6666666666666665,1.0,0.3333333333333333,0.6666666666666666,11.111111111111109,1.0,2.333333333333333,2.0,1.6666666666666665,0.3333333333333333,27.77777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
